Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Bonzi Wells,26,SG,POR,75,2396,15.7,15.8,0.086,0.086,0.143,0.273,52.5,39.0
Troy Hudson,26,PG,MIN,79,2600,15.2,21.9,0.076,0.076,0.222,0.2,47.3,44.4
Amar'e Stoudemire,20,PF,PHO,82,2570,16.2,15.9,0.1,0.1,0.276,0.2,53.7,55.2
Metta World Peace,23,SF,IND,69,2317,17.6,16.0,0.09,0.09,0.192,0.2,52.6,38.4
Tim Thomas,25,SF,MIL,80,2358,14.3,19.0,0.069,0.069,0.182,0.2,35.3,36.4
Derek Anderson,28,PG,POR,76,2556,16.9,-4.1,0.093,0.093,-0.037,0.273,56.7,0.0
Eric Snow,29,PG,PHI,82,3108,15.6,14.6,0.082,0.082,0.137,0.4,48.0,54.8
Mike Miller,22,SF,"ORL, MEM",65,2186,19.0,,"0.068, 0.101",0.076,0.0,0.0,34.7,0.0
Al Harrington,22,SF,IND,82,2467,12.4,-0.8,0.063,0.063,-0.01,0.2,36.9,-2.0
Clifford Robinson,36,PF,DET,81,2825,12.4,9.1,0.074,0.074,0.065,0.467,45.1,30.4
Corliss Williamson,29,SF,DET,82,2061,15.7,13.2,0.094,0.094,0.095,0.467,57.3,44.4
Andrei Kirilenko,21,SF,UTA,80,2213,21.1,17.9,0.123,0.123,0.217,0.111,70.5,24.1
Brad Miller,26,C,IND,73,2270,19.3,16.1,0.099,0.099,0.194,0.2,57.9,38.8
Stephen Jackson,24,SG,SAS,80,2254,14.5,12.0,0.084,0.084,0.097,0.85,61.5,82.4
Wally Szczerbiak,25,SF,MIN,52,1836,17.3,10.7,0.086,0.086,0.109,0.2,53.5,21.8
Nick Van Exel,31,SG,DAL,73,2026,15.6,19.1,0.078,0.078,0.13,0.525,57.1,68.2
Bobby Jackson,29,PG,SAC,59,1676,18.4,20.0,0.094,0.094,0.131,0.475,67.7,62.2
James Posey,26,SF,"DEN, HOU",83,2518,14.2,,"0.067, 0.078",0.075,0,0.0,32.7,0.0
John Stockton,40,PG,UTA,82,2275,21.0,17.1,0.122,0.122,0.207,0.111,69.9,23.0
Reggie Miller,37,SG,IND,70,2117,15.9,7.5,0.081,0.081,0.09,0.2,47.4,18.0
Mike Bibby,24,PG,SAC,55,1835,17.6,14.5,0.09,0.09,0.095,0.475,64.8,45.1
Drew Gooden,21,PF,"MEM, ORL",70,1873,18.0,16.7,"0.074, 0.088",0.078,0.186,0.273,30.6,0.0
Pat Garrity,26,PF,ORL,81,2584,11.2,2.5,0.055,0.055,0.028,0.273,28.2,7.6
Derek Fisher,28,PG,LAL,82,2829,11.9,14.1,0.073,0.073,0.132,0.4,44.5,52.8
Baron Davis,23,PG,NOH,50,1889,16.9,21.2,0.092,0.092,0.221,0.2,52.7,44.2
Kerry Kittles,28,SG,NJN,65,1951,18.3,13.4,0.11,0.11,0.101,0.817,65.8,82.5
Jamaal Magloire,24,C,NOH,82,2443,15.4,16.1,0.084,0.084,0.168,0.2,48.1,33.6
P.J. Brown,33,PF,NOH,78,2609,17.6,16.3,0.096,0.096,0.17,0.2,55.0,34.0
Malik Rose,28,PF,SAS,79,1933,16.1,13.3,0.093,0.093,0.107,0.85,68.1,90.9
Joe Johnson,21,SG,PHO,82,2255,11.6,1.0,0.071,0.071,0.017,0.2,38.1,3.4
Vlade Divac,34,C,SAC,80,2384,15.6,19.6,0.08,0.08,0.129,0.475,57.6,61.3
Lucious Harris,32,SG,NJN,77,1973,13.5,10.7,0.081,0.081,0.081,0.817,48.4,66.2
Darrell Armstrong,34,PG,ORL,82,2350,14.6,11.5,0.071,0.071,0.128,0.273,36.4,34.9
Doug Christie,32,SG,SAC,80,2710,15.0,13.3,0.077,0.077,0.087,0.475,55.4,41.3
Eric Williams,30,SF,BOS,82,2350,13.1,8.2,0.081,0.081,0.078,0.286,43.5,22.3
Aaron McKie,30,SF,PHI,80,2374,13.7,12.7,0.072,0.072,0.119,0.4,42.1,47.6
Kendall Gill,34,SG,MIN,82,2068,10.6,8.9,0.053,0.053,0.09,0.2,33.0,18.0
Calbert Cheaney,31,SG,UTA,81,2351,9.8,1.8,0.057,0.057,0.022,0.111,32.7,2.4
Scottie Pippen,37,SF,POR,64,1911,15.3,9.5,0.084,0.084,0.086,0.273,51.2,0.0
Rick Fox,33,SF,LAL,76,2181,11.9,8.9,0.073,0.073,0.083,0.4,44.5,0.0
Kenny Thomas,25,PF,"HOU, PHI",66,1978,15.8,15.7,"0.069, 0.083",0.079,0.147,0.4,44.8,0.0
Tony Delk,29,PG,BOS,67,1873,13.7,18.4,0.085,0.085,0.174,0.286,45.6,49.8
Zach Randolph,21,PF,POR,77,1301,19.9,21.7,0.109,0.109,0.197,0.273,66.5,53.8
Ruben Patterson,27,SF,POR,78,1655,14.5,17.3,0.079,0.079,0.157,0.273,48.2,42.9
Raef LaFrentz,26,C,DAL,69,1611,16.5,12.5,0.082,0.082,0.085,0.525,60.0,44.6
Anthony Peeler,33,SG,MIN,82,2245,11.0,6.9,0.055,0.055,0.07,0.2,34.2,14.0
Shammond Williams,27,PG,"BOS, DEN",78,1881,12.5,,"0.076, 0.068",0.073,0.0,0.0,31.6,0.0
Anfernee Hardaway,31,SG,PHO,58,1777,13.0,13.3,0.08,0.08,0.231,0.2,43.0,46.2
Derrick Coleman,35,C,PHI,64,1742,15.4,18.0,0.081,0.081,0.169,0.4,47.4,67.6
Bruce Bowen,31,SF,SAS,82,2566,9.1,8.9,0.053,0.053,0.072,0.85,38.8,61.2
Dale Davis,33,C,POR,78,2282,14.5,16.9,0.079,0.079,0.153,0.273,48.2,41.8
Jamaal Tinsley,24,PG,IND,73,2237,13.4,16.2,0.069,0.069,0.195,0.2,40.4,39.0
Ron Mercer,26,SG,IND,72,1671,9.3,6.1,0.048,0.048,0.073,0.2,28.1,14.6
Jon Barry,33,SG,DET,80,1473,17.9,19.3,0.107,0.107,0.139,0.467,65.3,64.9
David Robinson,37,C,SAS,64,1676,17.8,17.7,0.103,0.103,0.142,0.85,75.4,120.7
Shawn Bradley,30,C,DAL,81,1731,18.3,7.1,0.091,0.091,0.048,0.525,66.6,25.2
Shawn Kemp,33,C,ORL,79,1633,11.7,3.4,0.057,0.057,0.038,0.273,29.2,0.0
Keon Clark,27,C,SAC,80,1780,13.9,11.0,0.071,0.071,0.072,0.475,51.1,34.2
Kevin Ollie,30,PG,"MIL, SEA",82,1897,14.0,,"0.065, 0.068",0.066,0.0,0.0,33.2,0.0
J.R. Bremer,22,PG,BOS,64,1503,12.7,5.1,0.078,0.078,0.048,0.286,41.9,13.7
Courtney Alexander,25,PG,NOH,66,1360,9.3,14.4,0.051,0.051,0.15,0.2,29.2,0.0
Robert Horry,32,PF,LAL,80,2343,12.4,8.6,0.076,0.076,0.081,0.4,46.4,32.4
